Date,Open,High,Low,Close,Volume,OpenInt
2014-10-02,16.757,16.757,16.52,16.52,1085,0
2014-10-03,16.524,16.524,16.494,16.494,3005,0
2014-10-06,16.698,16.698,16.247,16.247,2161,0
2014-10-07,16.992,16.992,16.992,16.992,428,0
2014-10-09,16.671,16.671,16.671,16.671,215,0
2014-10-10,16.847,16.847,16.818,16.847,3397,0
2014-10-13,16.64,16.64,16.581,16.581,1689,0
2014-10-15,16.611,16.671,16.581,16.581,2703,0
2014-10-16,16.433,16.433,16.391,16.433,596,0
2014-10-17,16.671,16.729,16.671,16.729,694,0
2014-10-20,16.581,16.847,16.321,16.847,2587,0
2014-10-22,16.888,16.888,16.888,16.888,628,0
2014-10-23,16.575,16.818,16.575,16.71,1139,0
2014-10-24,16.877,16.877,16.877,16.877,582,0
2014-10-27,16.581,16.581,16.405,16.405,2239,0
2014-10-28,16.581,16.581,16.569,16.569,723,0
2014-10-29,17.091,17.173,17.055,17.173,5469,0
2014-11-03,17.173,17.173,17.173,17.173,7352,0
2014-11-04,16.97,17.291,16.97,17.263,12687,0
2014-11-05,16.875,17.291,16.677,16.907,2040,0
2014-11-06,16.907,16.907,16.742,16.801,4189,0
2014-11-10,16.356,17.263,16.356,17.263,3691,0
2014-11-11,17.291,17.291,17.2,17.2,644,0
2014-11-12,16.286,17.208,16.286,17.208,1985,0
2014-11-14,17.055,17.055,17.055,17.055,169,0
2014-11-18,17.048,17.263,17.048,17.263,933,0
2014-11-19,17.291,17.291,16.968,17.084,2394,0
2014-11-20,17.268,17.291,17.167,17.173,2378,0
2014-11-21,17.055,17.055,16.943,16.964,1941,0
2014-11-24,17.152,17.173,17.113,17.113,1489,0
2014-11-25,17.167,17.173,17.01,17.141,2826,0
2014-11-26,17.173,17.263,17.167,17.18,7684,0
2014-11-28,16.965,17.291,16.965,17.291,1387,0
2014-12-01,17.173,17.291,17.173,17.291,3380,0
2014-12-02,16.996,17.49,16.965,17.442,3912,0
2014-12-03,17.203,17.322,17.203,17.232,12158,0
2014-12-04,17.232,17.38,17.173,17.38,2000,0
2014-12-05,17.35,17.35,17.185,17.185,2659,0
2014-12-08,17.226,17.226,17.213,17.213,1775,0
2014-12-09,17.216,17.391,17.191,17.219,5121,0
2014-12-10,17.173,17.173,17.079,17.173,3131,0
2014-12-11,17.469,17.469,16.965,17.173,7533,0
2014-12-12,17.268,17.454,16.937,17.345,1968,0
2014-12-15,17.149,17.173,16.942,17.173,1362,0
2014-12-17,17.403,17.445,17.185,17.185,952,0
2014-12-18,17.185,17.185,17.167,17.173,20375,0
2014-12-19,17.291,17.291,17.185,17.185,2269,0
2014-12-23,17.173,17.173,16.942,17.155,6554,0
2014-12-30,17.155,17.358,17.025,17.113,7872,0
2015-01-02,17.195,17.318,17.195,17.318,501,0
2015-01-05,17.174,17.232,17.174,17.232,410,0
2015-01-06,17.291,17.452,17.291,17.316,4471,0
2015-01-07,17.439,17.439,17.439,17.439,425,0
2015-01-08,17.469,17.469,17.327,17.327,1067,0
2015-01-09,17.765,17.765,17.469,17.498,6098,0
2015-01-12,17.469,17.765,17.291,17.374,4428,0
2015-01-13,17.326,17.326,17.23,17.244,1710,0
2015-01-14,17.532,17.619,17.532,17.619,489,0
2015-01-16,17.262,17.262,17.262,17.262,972,0
2015-01-21,17.099,17.256,17.076,17.256,2437,0
2015-01-22,17.35,17.41,17.35,17.41,5952,0
2015-01-26,17.498,17.498,17.35,17.35,1007,0
2015-01-27,17.47,17.47,17.47,17.47,1003,0
2015-01-28,17.499,17.913,17.482,17.883,4461,0
2015-01-30,17.65,17.919,17.65,17.889,952,0
2015-02-02,17.919,17.949,17.334,17.657,6802,0
2015-02-05,17.657,17.657,17.362,17.362,5544,0
2015-02-06,17.35,17.35,16.943,17.237,12621,0
2015-02-09,17.178,17.326,16.961,17.237,33550,0
2015-02-10,17.201,17.413,17.201,17.369,1339,0
2015-02-11,17.499,17.591,17.027,17.41,12974,0
2015-02-12,17.262,17.924,16.961,17.799,64492,0
2015-02-13,17.949,17.949,17.949,17.949,166,0
2015-02-17,17.83,17.83,17.83,17.83,664,0
2015-02-19,17.949,17.949,17.212,17.212,1385,0
2015-02-20,17.949,17.949,17.111,17.111,4142,0
2015-02-23,17.333,17.35,17.141,17.262,2612,0
2015-02-24,17.262,17.262,16.949,17.022,577,0
2015-02-25,17.111,17.111,17.034,17.051,1339,0
2015-02-26,17.123,17.123,17.111,17.111,535,0
2015-02-27,17.099,17.099,17.099,17.099,232,0
2015-03-02,17.104,17.201,17.051,17.051,6015,0
2015-03-03,17.076,17.212,17.07,17.212,18721,0
2015-03-04,17.147,17.171,17.064,17.147,46129,0
2015-03-05,17.147,17.171,17.051,17.159,64516,0
2015-03-06,17.183,17.224,17.183,17.224,665,0
2015-03-09,17.082,17.752,17.051,17.476,60503,0
2015-03-10,17.853,17.853,17.38,17.47,4846,0
2015-03-11,17.499,17.499,17.296,17.296,333,0
2015-03-12,17.099,17.488,17.099,17.201,4347,0
2015-03-13,17.141,17.339,17.141,17.326,14038,0
2015-03-16,17.111,17.201,17.104,17.141,34430,0
2015-03-17,17.171,17.284,17.135,17.278,9192,0
2015-03-18,17.65,17.83,17.476,17.559,18054,0
2015-03-19,17.877,17.877,17.262,17.836,2004,0
2015-03-20,17.83,17.83,17.35,17.83,4181,0
2015-03-23,17.811,17.83,17.267,17.446,3512,0
2015-03-24,17.41,17.738,17.07,17.082,46298,0
2015-03-25,17.242,17.578,17.051,17.23,1672,0
2015-03-26,17.117,17.237,17.087,17.104,8190,0
2015-03-27,17.171,17.196,17.171,17.171,2674,0
2015-03-30,17.123,17.147,16.513,16.67,21560,0
2015-03-31,16.722,16.741,16.561,16.566,3431,0
2015-04-01,16.722,17.104,16.406,17.104,13704,0
2015-04-02,16.902,16.902,16.609,16.836,3512,0
2015-04-06,16.807,16.807,16.513,16.681,4181,0
2015-04-07,16.752,17.207,16.452,17.207,13325,0
2015-04-08,16.991,17.237,16.513,17.237,11030,0
2015-04-09,17.309,17.717,17.201,17.591,23547,0
2015-04-10,17.757,17.799,17.591,17.632,11030,0
2015-04-13,17.565,17.958,17.565,17.596,1819,0
2015-04-14,17.572,17.572,17.572,17.572,330,0
2015-04-16,17.286,17.565,17.203,17.558,10937,0
2015-04-17,17.232,17.498,16.948,17.486,23320,0
2015-04-20,17.305,17.457,17.022,17.336,21390,0
2015-04-21,17.486,17.486,17.268,17.474,12055,0
2015-04-22,17.457,18.139,17.203,18.11,24528,0
2015-04-23,18.139,18.326,18.043,18.097,62018,0
2015-04-24,18.078,18.683,17.897,18.683,16648,0
2015-04-27,18.157,18.387,17.801,18.11,1983,0
2015-04-28,18.062,18.291,17.813,18,6285,0
2015-04-29,17.838,18.139,17.535,17.584,5293,0
2015-04-30,18.012,18.073,17.813,18.073,3306,0
2015-05-01,18.122,18.122,18,18.055,2811,0
2015-05-04,17.842,17.983,17.778,17.947,3141,0
2015-05-05,17.801,17.989,17.578,17.989,4139,0
2015-05-06,17.838,17.838,17.578,17.711,1738,0
2015-05-07,17.637,17.832,17.552,17.832,16455,0
2015-05-08,17.723,17.892,17.711,17.892,3637,0
2015-05-11,17.927,18.139,17.637,18.139,23813,0
2015-05-12,18.078,18.139,18.03,18.116,6339,0
2015-05-13,18.139,18.139,18.139,18.139,330,0
2015-05-14,18.139,18.139,17.862,17.862,827,0
2015-05-15,17.802,17.802,17.802,17.802,365,0
2015-05-18,18.127,18.127,17.657,17.657,1127,0
2015-05-19,17.897,17.897,17.82,17.838,786,0
2015-05-21,18.139,18.139,17.698,17.698,1158,0
2015-05-22,17.838,18.139,17.838,18.139,3141,0
2015-05-26,18.11,18.139,18.11,18.139,1236,0
2015-05-27,18.116,18.116,18.006,18.006,659,0
2015-05-28,18.036,18.133,18.036,18.133,756,0
2015-05-29,18.133,18.157,18.024,18.024,8105,0
2015-06-01,18.017,18.139,18.017,18.139,348,0
2015-06-02,18.11,18.11,18.11,18.11,230,0
2015-06-03,18.139,18.139,17.989,18.03,1654,0
2015-06-04,18.122,18.139,18.122,18.139,2148,0
2015-06-05,18.744,18.744,17.867,17.867,1819,0
2015-06-08,17.838,17.94,17.838,17.94,330,0
2015-06-09,17.856,17.856,17.856,17.856,220,0
2015-06-10,18.017,18.017,17.842,17.842,2881,0
2015-06-11,17.838,17.867,17.838,17.838,2872,0
2015-06-12,17.927,17.947,17.927,17.947,827,0
2015-06-15,17.838,17.977,17.838,17.934,11414,0
2015-06-16,17.934,17.983,17.838,17.977,3471,0
2015-06-18,17.953,17.977,17.953,17.977,1324,0
2015-06-19,17.886,17.886,17.886,17.886,493,0
2015-06-22,17.867,17.873,17.838,17.873,2481,0
2015-06-23,17.873,17.958,17.723,17.728,2591,0
2015-06-24,17.728,17.728,17.657,17.657,1158,0
2015-06-25,17.826,17.826,17.111,17.312,9095,0
2015-06-26,17.504,17.504,17.474,17.474,2148,0
2015-06-29,17.474,17.474,17.474,17.474,330,0
2015-06-30,17.414,17.977,17.414,17.728,3664,0
2015-07-01,17.693,17.693,16.81,17.257,1489,0
2015-07-06,17.414,17.657,17.293,17.657,8930,0
2015-07-08,17.977,17.977,17.686,17.752,2316,0
2015-07-09,17.94,18.139,17.94,18.139,10090,0
2015-07-10,18,18.563,18,18.526,5129,0
2015-07-13,18.557,18.557,18.018,18.135,5238,0
2015-07-14,18.018,18.135,17.994,17.994,3430,0
2015-07-15,18.001,18.056,17.983,18.056,4065,0
2015-07-16,18.325,18.325,17.885,17.885,1965,0
2015-07-17,17.721,17.721,17.677,17.677,1148,0
2015-07-20,17.721,17.721,17.402,17.469,6548,0
2015-07-21,17.402,17.715,17.347,17.653,7694,0
2015-07-22,17.469,17.531,17.409,17.469,1965,0
2015-07-23,17.415,17.897,17.415,17.469,8022,0
2015-07-24,17.469,17.683,17.421,17.683,9006,0
2015-07-27,17.635,18.753,17.409,17.598,5075,0
2015-07-28,17.762,18.018,17.762,18.018,2621,0
2015-07-29,18.368,18.368,18.209,18.209,4093,0
2015-07-31,18.55,18.55,18.538,18.538,2128,0
2015-08-03,18.721,18.721,17.923,17.923,7984,0
2015-08-04,17.488,18.044,17.201,18.044,5732,0
2015-08-05,18.018,18.209,17.866,18.209,2128,0
2015-08-06,18.337,18.721,18.337,18.447,3271,0
2015-08-10,18.557,18.557,18.325,18.325,2786,0
2015-08-11,18.478,18.478,18.234,18.234,1064,0
2015-08-12,17.475,17.677,17.469,17.677,1148,0
2015-08-13,18.118,18.118,17.531,17.568,2786,0
2015-08-14,17.561,17.769,17.561,17.769,985,0
2015-08-17,17.604,17.604,17.604,17.604,326,0
2015-08-18,17.604,18.196,17.604,18.106,985,0
2015-08-20,17.629,17.861,17.286,17.506,5732,0
2015-08-21,17.64,17.64,17.383,17.475,819,0
2015-08-24,17.347,17.445,16.493,17.402,6641,0
2015-08-25,17.702,17.702,17.244,17.244,6221,0
2015-08-26,17.238,17.561,17.103,17.353,3437,0
2015-08-27,17.524,17.561,17.524,17.561,1472,0
2015-08-28,17.286,17.439,17.286,17.292,5732,0
2015-08-31,17.372,17.554,17.28,17.554,653,0
2015-09-01,17.554,17.554,17.312,17.312,1801,0
2015-09-02,17.268,17.554,17.263,17.39,2290,0
2015-09-04,17.513,17.554,17.513,17.549,1965,0
2015-09-08,17.286,17.409,17.286,17.397,1311,0
2015-09-09,17.409,17.409,17.402,17.409,985,0
2015-09-11,17.256,17.494,17.25,17.494,2457,0
2015-09-14,17.5,17.561,17.5,17.561,819,0
2015-09-15,17.286,17.318,17.286,17.318,819,0
2015-09-16,17.554,17.554,17.109,17.109,1801,0
2015-09-17,17.298,17.312,17.115,17.312,807,0
2015-09-18,17.561,17.561,17.554,17.561,4419,0
2015-09-22,17.715,17.715,17.561,17.561,1801,0
2015-09-24,17.715,17.715,17.561,17.561,2972,0
2015-09-25,17.715,17.715,17.66,17.66,819,0
2015-09-28,17.715,17.715,17.715,17.715,692,0
2015-09-30,17.837,18.012,17.715,17.715,13588,0
2015-10-01,17.715,17.715,17.158,17.158,2948,0
2015-10-02,17.218,17.677,17.201,17.439,1801,0
2015-10-05,17.715,17.715,17.286,17.286,1897,0
2015-10-06,17.586,17.715,17.586,17.586,2948,0
2015-10-07,17.715,17.715,17.231,17.324,5732,0
2015-10-08,17.554,17.715,17.409,17.544,1639,0
2015-10-09,17.715,17.715,17.58,17.58,1801,0
2015-10-14,17.771,17.907,17.74,17.907,8746,0
2015-10-15,17.907,18.092,17.907,18.092,2107,0
2015-10-16,17.752,17.976,17.536,17.907,25101,0
2015-10-19,17.758,17.913,17.758,17.9,21055,0
2015-10-21,17.598,17.845,17.506,17.512,5184,0
2015-10-26,17.666,17.783,17.444,17.487,3078,0
2015-10-27,17.499,17.506,17.388,17.388,3564,0
2015-10-28,17.548,17.907,17.548,17.678,5667,0
2015-10-29,17.678,17.678,17.678,17.678,484,0
2015-10-30,17.907,17.907,17.685,17.685,1296,0
2015-11-02,18.216,18.216,17.598,17.726,7372,0
2015-11-03,17.907,17.907,17.723,17.723,2430,0
2015-11-04,17.79,17.84,17.79,17.84,483,0
2015-11-05,17.536,17.685,17.536,17.685,1296,0
2015-11-06,17.536,17.561,17.536,17.536,2267,0
2015-11-09,17.752,17.752,17.713,17.713,646,0
2015-11-10,18.092,18.277,17.907,17.907,4210,0
2015-11-11,17.598,17.976,17.568,17.976,1296,0
2015-11-12,17.863,17.863,17.858,17.858,484,0
2015-11-16,17.845,17.907,17.746,17.746,1296,0
2015-11-17,17.875,17.907,17.758,17.764,3078,0
2015-11-18,18.209,18.209,17.635,17.635,2591,0
2015-11-19,17.907,17.907,17.604,17.604,809,0
2015-11-20,18.153,18.153,18.153,18.153,162,0
2015-11-23,17.641,17.931,17.641,17.931,973,0
2015-11-24,17.758,17.907,17.697,17.764,646,0
2015-11-25,17.623,17.623,17.623,17.623,323,0
2015-11-27,17.661,17.752,17.629,17.728,7288,0
2015-11-30,17.752,17.752,17.746,17.752,3401,0
2015-12-02,17.752,17.752,17.752,17.752,344,0
2015-12-03,17.752,17.752,17.388,17.388,14366,0
2015-12-04,17.381,17.685,17.381,17.685,2754,0
2015-12-07,17.71,17.71,17.598,17.661,2267,0
2015-12-08,17.623,17.685,17.623,17.629,664,0
2015-12-09,17.431,17.685,17.431,17.654,809,0
2015-12-10,17.598,17.685,17.48,17.685,1781,0
2015-12-11,17.357,17.357,17.357,17.357,323,0
2015-12-14,17.582,17.582,17.582,17.582,342,0
2015-12-15,17.598,17.598,17.296,17.437,1457,0
2015-12-16,17.536,17.536,17.536,17.536,2917,0
2015-12-17,17.327,17.413,17.098,17.098,28827,0
2015-12-18,17.227,17.468,17.227,17.468,1781,0
2015-12-21,17.53,17.593,17.53,17.593,973,0
2015-12-22,17.415,17.435,17.415,17.435,3198,0
2015-12-23,17.593,17.593,17.536,17.536,1457,0
2015-12-28,17.413,17.575,17.413,17.419,1154,0
2015-12-29,17.593,17.593,17.593,17.593,386,0
2015-12-30,17.463,17.752,17.444,17.752,3155,0
2015-12-31,17.746,17.752,17.598,17.752,2614,0
2016-01-05,17.74,17.845,17.598,17.752,16203,0
2016-01-06,17.752,17.752,17.752,17.752,2814,0
2016-01-07,17.604,17.752,17.419,17.419,4265,0
2016-01-08,17.523,17.598,17.523,17.569,1781,0
2016-01-11,17.598,17.752,17.444,17.752,1904,0
2016-01-13,17.7,17.79,17.7,17.79,2500,0
2016-01-14,17.915,17.946,17.597,17.603,5568,0
2016-01-15,17.915,17.946,17.634,17.634,1509,0
2016-01-19,17.639,17.639,16.823,16.917,15060,0
2016-01-20,16.903,17.097,16.696,16.696,7491,0
2016-01-21,16.735,16.735,16.651,16.651,2774,0
2016-01-22,16.835,16.835,16.542,16.823,2621,0
2016-01-25,16.572,16.572,16.572,16.572,1617,0
2016-01-26,16.835,16.835,16.679,16.679,478,0
2016-01-27,16.798,17.665,16.798,17.353,4963,0
2016-01-29,17.634,17.634,17.322,17.329,5157,0
2016-02-01,17.634,17.634,17.372,17.477,4417,0
2016-02-02,17.728,17.728,17.728,17.728,2027,0
2016-02-04,17.796,17.853,17.79,17.79,3046,0
2016-02-08,17.597,17.597,16.542,16.917,15956,0
2016-02-09,16.947,17.022,16.742,16.853,20423,0
2016-02-10,16.853,16.991,16.785,16.991,978,0
2016-02-11,16.729,16.978,16.729,16.972,10238,0
2016-02-12,17.01,17.01,16.794,16.802,2097,0
2016-02-16,16.696,16.859,16.696,16.859,407,0
2016-02-17,16.853,16.853,16.725,16.725,3696,0
2016-02-18,16.72,16.823,16.72,16.823,2563,0
2016-02-19,16.622,16.823,16.622,16.703,7932,0
2016-02-22,16.804,16.804,16.804,16.804,320,0
2016-02-23,16.798,16.853,16.791,16.791,10244,0
2016-02-24,16.708,16.746,16.708,16.746,1293,0
2016-02-25,16.696,16.696,16.696,16.696,160,0
2016-02-26,16.703,16.703,16.603,16.603,459,0
2016-02-29,16.611,16.611,16.611,16.611,325,0
2016-03-02,16.536,16.726,16.529,16.536,12267,0
2016-03-03,16.529,16.817,16.411,16.523,5173,0
2016-03-04,16.829,16.829,16.695,16.695,3618,0
2016-03-07,16.668,16.668,16.385,16.446,2772,0
2016-03-09,16.405,16.556,16.385,16.385,6639,0
2016-03-10,16.798,16.823,16.542,16.542,3537,0
2016-03-11,16.579,16.791,16.565,16.729,12747,0
2016-03-14,16.791,16.791,16.635,16.775,7741,0
2016-03-15,16.791,17.423,16.557,17.423,18153,0
2016-03-16,17.034,17.477,16.917,17.477,2554,0
2016-03-17,17.473,17.473,17.459,17.459,852,0
2016-03-18,17.24,17.26,17.103,17.103,1532,0
2016-03-21,16.933,16.933,16.933,16.933,271,0
2016-03-22,17.085,17.142,17.085,17.142,1829,0
2016-03-23,17.291,17.476,17.291,17.471,1650,0
2016-03-24,17.255,17.464,17.231,17.369,2959,0
2016-03-28,17.434,17.477,17.387,17.387,3122,0
2016-03-29,17.422,17.477,17.103,17.272,5251,0
2016-03-30,17.247,17.477,17.234,17.477,6115,0
2016-03-31,17.477,17.477,17.079,17.079,738,0
2016-04-01,17.272,17.459,17.272,17.31,507,0
2016-04-04,17.477,18.133,17.284,17.477,8319,0
2016-04-06,17.477,17.477,17.191,17.379,1613,0
2016-04-07,17.403,17.784,17.403,17.784,478,0
2016-04-08,17.678,17.746,17.296,17.613,3064,0
2016-04-11,17.79,17.79,17.631,17.784,1371,0
2016-04-12,17.79,18.102,17.387,18.102,3312,0
2016-04-13,17.521,18.171,17.521,17.844,1734,0
2016-04-14,17.387,18,17.387,17.994,2472,0
2016-04-15,17.989,18.044,17.989,18.044,3480,0
2016-04-18,18.013,18.133,17.56,17.56,6554,0
2016-04-20,17.421,18.109,17.421,17.667,2558,0
2016-04-22,17.673,17.859,17.603,17.859,895,0
2016-04-25,17.546,17.794,17.357,17.576,4198,0
2016-04-26,17.357,17.357,17.357,17.357,368,0
2016-04-27,17.528,18.013,17.528,17.983,6046,0
2016-04-28,18.013,18.152,18,18.152,1964,0
2016-04-29,17.983,18.171,17.983,18.109,6870,0
2016-05-02,18.121,18.203,17.983,17.983,8527,0
2016-05-03,17.983,18.109,17.983,18.109,483,0
2016-05-04,18.077,18.077,17.667,17.667,2303,0
2016-05-05,17.907,17.907,17.736,17.736,2396,0
2016-05-06,17.8,17.8,17.8,17.8,402,0
2016-05-09,17.79,17.79,17.667,17.667,1397,0
2016-05-10,17.54,18.278,17.414,17.427,3395,0
2016-05-11,17.667,17.667,17.49,17.49,697,0
2016-05-12,17.51,17.51,17.51,17.51,159,0
2016-05-13,17.637,17.637,17.455,17.455,437,0
2016-05-16,17.44,17.54,17.414,17.54,2140,0
2016-05-17,17.495,17.54,17.408,17.414,2062,0
2016-05-18,17.513,17.513,17.513,17.513,417,0
2016-05-19,17.408,17.651,17.408,17.651,3748,0
2016-05-20,17.433,17.433,17.433,17.433,168,0
2016-05-23,17.667,17.667,17.467,17.467,2726,0
2016-05-24,17.541,17.546,17.541,17.546,815,0
2016-05-25,17.421,17.667,17.408,17.667,4098,0
2016-05-26,17.641,17.667,17.575,17.575,1115,0
2016-05-31,17.812,17.824,17.427,17.824,1559,0
2016-06-01,17.824,17.824,17.733,17.733,333,0
2016-06-02,17.667,17.824,17.667,17.824,377,0
2016-06-03,17.824,17.824,17.667,17.774,2508,0
2016-06-06,17.667,17.667,17.667,17.667,792,0
2016-06-07,17.476,17.526,17.453,17.526,632,0
2016-06-08,17.606,17.76,17.603,17.76,541,0
2016-06-09,17.56,17.56,17.44,17.56,1269,0
2016-06-10,17.609,17.609,17.574,17.574,452,0
2016-06-13,17.548,17.76,17.453,17.454,2696,0
2016-06-14,17.736,17.755,17.627,17.627,1279,0
2016-06-16,17.483,17.483,17.483,17.483,468,0
2016-06-17,17.79,17.79,17.718,17.718,975,0
2016-06-20,17.476,17.667,17.476,17.667,1702,0
2016-06-22,17.756,17.824,17.667,17.824,2148,0
2016-06-23,17.516,17.553,17.516,17.553,1031,0
2016-06-24,17.516,17.667,17.351,17.667,15547,0
2016-06-27,17.389,17.389,17.389,17.389,205,0
2016-06-28,17.327,17.983,17.327,17.593,3439,0
2016-06-29,17.655,17.655,17.655,17.655,1021,0
2016-06-30,17.647,17.746,17.647,17.745,1974,0
2016-07-05,17.794,17.794,17.794,17.794,280,0
2016-07-06,17.792,17.792,17.792,17.792,474,0
2016-07-07,17.667,17.667,17.667,17.667,640,0
2016-07-08,17.77,17.77,17.585,17.585,4145,0
2016-07-11,17.633,17.667,17.573,17.667,1964,0
2016-07-12,17.667,17.667,17.667,17.667,579,0
2016-07-13,17.765,17.827,17.609,17.609,2430,0
2016-07-14,17.673,17.833,17.673,17.796,4677,0
2016-07-15,17.833,17.833,17.82,17.833,915,0
2016-07-19,17.826,17.864,17.712,17.713,4356,0
2016-07-21,17.707,17.833,17.707,17.707,3596,0
2016-07-22,17.833,17.833,17.746,17.826,1411,0
2016-07-25,17.801,17.864,17.801,17.864,2436,0
2016-07-26,17.705,17.705,17.705,17.705,339,0
2016-07-27,17.768,18.183,17.705,18.183,6855,0
2016-07-28,18.183,18.183,18.127,18.127,689,0
2016-07-29,18.024,18.093,17.796,17.961,3524,0
2016-08-01,18.145,18.183,17.953,18.183,1526,0
2016-08-02,18.183,18.183,18.183,18.183,399,0
2016-08-03,18.12,18.12,17.928,17.928,5124,0
2016-08-04,17.963,18.183,17.928,18.183,2200,0
2016-08-05,17.864,18.343,17.864,18.343,5145,0
2016-08-08,17.641,18.248,17.641,18.241,2037,0
2016-08-09,18.266,18.266,18.035,18.062,1802,0
2016-08-10,17.947,17.947,17.916,17.916,314,0
2016-08-11,17.998,17.998,17.992,17.992,550,0
2016-08-12,17.935,17.935,17.935,17.935,314,0
2016-08-15,17.959,17.959,17.959,17.959,203,0
2016-08-16,17.944,18.024,17.944,17.965,744,0
2016-08-17,17.992,17.992,17.928,17.928,3515,0
2016-08-18,17.969,18.484,17.969,18.465,2367,0
2016-08-19,18.251,18.376,18.251,18.376,1112,0
2016-08-22,18.412,18.412,18.252,18.33,1057,0
2016-08-23,18.279,18.437,18.279,18.401,2620,0
2016-08-24,18.458,18.458,18.343,18.384,940,0
2016-08-25,18.477,18.484,18.457,18.457,6176,0
2016-08-26,18.346,18.477,18.304,18.33,3560,0
2016-08-29,18.433,18.439,18.433,18.439,440,0
2016-08-30,18.503,18.503,18.441,18.449,1538,0
2016-09-01,18.241,18.503,18.241,18.439,2047,0
2016-09-02,18.383,18.503,18.383,18.503,8001,0
2016-09-06,18.571,18.58,18.571,18.58,565,0
2016-09-07,19.204,19.204,18.528,18.534,7104,0
2016-09-08,18.822,19.087,18.822,18.985,1255,0
2016-09-09,18.828,18.981,18.58,18.981,1955,0
2016-09-12,18.649,18.649,18.517,18.58,1223,0
2016-09-13,18.503,18.624,18.503,18.572,2399,0
2016-09-14,18.61,18.61,18.503,18.521,3999,0
2016-09-15,18.899,18.899,18.41,18.749,1544,0
2016-09-16,18.886,18.975,18.503,18.975,2591,0
2016-09-19,18.503,18.917,18.503,18.503,6408,0
2016-09-20,18.598,18.598,18.534,18.534,469,0
2016-09-21,18.503,18.642,18.503,18.642,1255,0
2016-09-22,18.534,18.822,18.534,18.745,779,0
2016-09-26,18.528,18.528,18.248,18.248,2237,0
2016-09-27,18.503,18.503,18.503,18.503,626,0
2016-09-28,18.528,18.782,18.521,18.58,1099,0
2016-09-29,18.752,18.752,18.387,18.503,3918,0
2016-09-30,18.694,18.694,18.55,18.55,546,0
2016-10-03,18.407,18.981,18.298,18.981,1022,0
2016-10-04,18.798,18.798,18.567,18.567,601,0
2016-10-05,18.709,18.981,18.709,18.892,782,0
2016-10-06,18.759,18.822,18.759,18.766,715,0
2016-10-07,18.549,18.549,18.549,18.549,404,0
2016-10-10,18.641,18.806,18.641,18.806,1058,0
2016-10-11,18.66,18.66,18.503,18.503,1411,0
2016-10-12,18.431,18.674,18.411,18.541,3649,0
2016-10-14,18.696,18.696,18.381,18.399,5738,0
2016-10-17,18.412,18.573,18.41,18.415,4719,0
2016-10-18,18.657,18.663,18.61,18.61,689,0
2016-10-19,18.568,18.638,18.568,18.638,3643,0
2016-10-20,18.639,18.639,18.639,18.639,414,0
2016-10-21,18.509,18.897,18.509,18.822,1241,0
2016-10-24,18.984,18.984,18.984,18.984,522,0
2016-10-25,18.548,18.719,18.503,18.503,3331,0
2016-10-26,18.651,18.651,18.651,18.651,162,0
2016-10-27,18.381,19.013,18.381,18.844,7902,0
2016-10-28,18.759,18.759,18.735,18.735,3017,0
2016-10-31,18.703,19.025,18.703,18.731,1474,0
2016-11-01,19.019,19.019,18.546,18.961,2497,0
2016-11-03,18.928,19.032,18.561,19.025,5702,0
2016-11-04,18.928,19.032,18.928,19.032,1116,0
2016-11-07,18.928,18.928,18.928,18.928,156,0
2016-11-09,18.864,18.864,18.813,18.813,1351,0
2016-11-10,18.832,19.147,18.514,18.767,4550,0
2016-11-11,18.548,18.961,18.477,18.961,1529,0
2016-11-14,18.477,18.794,18.477,18.703,813,0
2016-11-15,18.509,18.788,18.509,18.788,595,0
2016-11-16,18.999,19.186,18.928,19.09,35503,0
2016-11-17,19.348,19.412,19.348,19.412,2584,0
2016-11-18,19.348,19.515,19.348,19.513,3736,0
2016-11-21,19.477,20.263,19.173,20.25,8356,0
2016-11-22,19.509,21.275,19.509,21.271,6932,0
2016-11-23,20.508,21.05,20.508,20.753,4925,0
2016-11-25,21.231,21.766,21.089,21.546,12518,0
2016-11-28,21.553,21.773,20.798,21.747,2189,0
2016-11-29,21.282,21.411,20.798,20.96,7366,0
2016-11-30,21.057,22.25,21.057,22.25,8485,0
2016-12-01,21.766,21.766,20.96,20.96,4447,0
2016-12-02,20.482,20.65,20.482,20.579,4003,0
2016-12-05,20.689,20.96,20.689,20.895,5301,0
2016-12-06,20.954,20.96,20.948,20.96,10879,0
2016-12-07,21.701,21.927,21.583,21.927,12496,0
2016-12-08,21.656,21.863,21.263,21.863,3708,0
2016-12-09,20.991,21.12,20.991,21.12,807,0
2016-12-12,21.345,21.45,21.345,21.45,620,0
2016-12-13,21.599,21.734,21.411,21.643,9488,0
2016-12-14,21.606,21.67,21.605,21.67,2633,0
2016-12-15,21.662,21.702,21.662,21.681,5324,0
2016-12-16,21.573,21.636,21.45,21.539,7824,0
2016-12-19,21.539,21.605,21.539,21.573,2850,0
2016-12-20,21.605,22.224,21.605,21.612,3418,0
2016-12-21,21.63,21.927,21.605,21.766,3808,0
2016-12-22,22.005,22.005,21.689,21.82,1327,0
2016-12-23,21.92,21.92,21.608,21.608,765,0
2016-12-27,21.831,21.927,21.425,21.92,9824,0
2016-12-28,21.791,21.791,21.193,21.211,3815,0
2016-12-29,21.153,21.424,20.541,20.541,12594,0
2016-12-30,20.676,21.927,20.676,21.372,1214,0
